STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.93816,-118.3866,29.7,1/1/2019,2.8,",,W",,,,,,,0,",,W,2400",,,,,12.1,"H,,S",16.7,",,W",5,",,W",330,",,W",310,",,W",8.1,",,W",11.6,",,W",,,,,,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.93816,-118.3866,29.7,1/2/2019,2.1,",,W",,,,,,,0,",,W,2400",,,,,11.2,"H,,S",16.1,",,W",3.9,",,W",250,",,W",250,",,W",6.3,",,W",7.2,",,W",,,,,,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.93816,-118.3866,29.7,1/3/2019,2.8,",,W",,,,,,,0,",,W,2400",,,,,12.4,"H,,S",18.9,",,W",7.2,",,W",270,",,W",280,",,W",6.7,",,W",8.1,",,W",,,,,,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.93816,-118.3866,29.7,1/4/2019,2.1,",,W",,,,,,,0,",,W,2400",,,,,12.4,"H,,S",17.2,",,W",6.7,",,W",270,",,W",290,",,W",5.4,",,W",6.3,",,W",,,,,,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.93816,-118.3866,29.7,1/5/2019,3.4,",,W",,,,,,,14.2,",,W,2400",,,,,12.5,"H,,S",14.4,",,W",8.9,",,W",60,",,W",110,",,W",8.1,",,W",9.8,",,W",1,",,W",,,1,",,W",,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.93816,-118.3866,29.7,1/6/2019,3,",,W",,,,,,,0,"T,,W,2400",,,,,11.9,"H,,S",15,",,W",9.4,",,W",250,",,W",250,",,W",6.7,",,W",8.5,",,W",,,,,,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.93816,-118.3866,29.7,1/7/2019,3.5,",,W",,,,,,,5.3,",,W,2400",,,,,12.5,"H,,S",15.6,",,W",10.6,",,W",60,",,W",40,",,W",7.6,",,W",10.3,",,W",1,",,W",,,,,,,,,,,,,1,",,W",,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.93816,-118.3866,29.7,1/8/2019,2.3,",,W",,,,,,,0,",,W,2400",,,,,14.8,"H,,S",21.7,",,W",10.6,",,W",280,",,W",280,",,W",6.7,",,W",7.6,",,W",1,",,W",,,,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.93816,-118.3866,29.7,1/9/2019,2.2,",,W",,,,,,,0,",,W,2400",,,,,13.9,"H,,S",17.2,",,W",8.9,",,W",270,",,W",280,",,W",8.9,",,W",9.8,",,W",1,",,W",,,,,,,,,,,,,1,",,W",,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.93816,-118.3866,29.7,1/10/2019,2.4,",,W",,,,,,,0,",,W,2400",,,,,13.8,"H,,S",16.1,",,W",10,",,W",270,",,W",240,",,W",5.8,",,W",8.5,",,W",1,",,W",,,,,,,,,,,,,1,",,W",,
